locus	cross	chrom	peak.Mb	target	LOD	f.ctrl	f.target	dfreq	dfreq.rep1	sig	responds
JU1793xJU2466 I:0.96	JU1793xJU2466	I	0.964967	mig6	8.79122109074653	0.6100462656972901	0.7993883792048929	0.18934211350760277	NA	TRUE	TRUE
JU1793xJU2466 I:0.96	JU1793xJU2466	I	0.964967	pos1	14.4434181248204	0.6100462656972901	0.7948113207547169	0.1847650550574268	NA	TRUE	TRUE
JU1793xJU2466 I:2.11	JU1793xJU2466	I	2.105052	mig6	5.39069765217675	0.8365966536133855	0.9288054810843015	0.09220882747091597	NA	TRUE	FALSE
JU1793xJU2466 I:2.11	JU1793xJU2466	I	2.105052	pos1	7.78227236173891	0.8365966536133855	0.9514321295143213	0.11483547590093579	NA	TRUE	TRUE
JU1793xJU2466 I:5.08	JU1793xJU2466	I	5.082958	mig6	11.634419506717	0.5	0.42857142857142855	-0.07142857142857145	NA	TRUE	FALSE
JU1793xJU2466 I:5.08	JU1793xJU2466	I	5.082958	pos1	0.890853054428206	0.5	0.7142857142857143	0.2142857142857143	NA	FALSE	FALSE
JU1793xJU2466 I:6.23	JU1793xJU2466	I	6.227126	mig6	28.5788395166346	0.2	0.125	-0.07500000000000001	NA	TRUE	FALSE
JU1793xJU2466 I:6.23	JU1793xJU2466	I	6.227126	pos1	2.14037006275405	0.2	0.8	0.6000000000000001	NA	FALSE	FALSE
JU1793xJU2466 I:9.68	JU1793xJU2466	I	9.681496	mig6	39.0711377758989	NA	NA	NA	NA	TRUE	FALSE
JU1793xJU2466 I:9.68	JU1793xJU2466	I	9.681496	pos1	3.36269189404511	NA	NA	NA	NA	FALSE	FALSE
JU1793xJU2466 I:11.30	JU1793xJU2466	I	11.30104	mig6	24.0648331864983	0.5370251126851255	0.23648648648648649	-0.300538626198639	NA	TRUE	TRUE
JU1793xJU2466 I:11.30	JU1793xJU2466	I	11.30104	pos1	1.06565133889546	0.5370251126851255	0.4047058823529412	-0.13231923033218435	NA	FALSE	FALSE
JU1793xJU2466 I:15.06	JU1793xJU2466	I	15.05949	mig6	0.0488346966563569	0.2702702702702703	0.3050847457627119	0.0348144754924416	NA	FALSE	FALSE
JU1793xJU2466 I:15.06	JU1793xJU2466	I	15.05949	pos1	4.21491443305832	0.2702702702702703	0.42857142857142855	0.15830115830115826	NA	TRUE	TRUE
JU1793xJU2466 II:0.02	JU1793xJU2466	II	0.024284	mig6	20.3978865180863	0.225	0.5135135135135135	0.2885135135135135	NA	TRUE	TRUE
JU1793xJU2466 II:0.02	JU1793xJU2466	II	0.024284	pos1	0.84675936305932	0.225	0.3181818181818182	0.09318181818181817	NA	FALSE	FALSE
JU1793xJU2466 II:2.02	JU1793xJU2466	II	2.016015	mig6	17.4242864565275	0.35714285714285715	0.5	0.14285714285714285	NA	TRUE	TRUE
JU1793xJU2466 II:2.02	JU1793xJU2466	II	2.016015	pos1	4.0695616910056	0.35714285714285715	0.2727272727272727	-0.08441558441558444	NA	TRUE	FALSE
JU1793xJU2466 II:3.52	JU1793xJU2466	II	3.523741	mig6	16.166579997237	0.2607758620689655	0.441153546375682	0.18037768430671647	NA	TRUE	TRUE
JU1793xJU2466 II:3.52	JU1793xJU2466	II	3.523741	pos1	6.07293461686198	0.2607758620689655	0.37525150905432597	0.11447564698536045	NA	TRUE	TRUE
JU1793xJU2466 II:10.68	JU1793xJU2466	II	10.684714	mig6	20.4843742329344	0.25828617623282135	0.4349851757729776	0.17669899954015622	NA	TRUE	TRUE
JU1793xJU2466 II:10.68	JU1793xJU2466	II	10.684714	pos1	0.139369080125117	0.25828617623282135	0.2773037542662116	0.01901757803339027	NA	FALSE	FALSE
JU1793xJU2466 II:12.25	JU1793xJU2466	II	12.250323	mig6	23.6561318215684	0.3333333333333333	0.47368421052631576	0.14035087719298245	NA	TRUE	TRUE
JU1793xJU2466 II:12.25	JU1793xJU2466	II	12.250323	pos1	0.478752600891121	0.3333333333333333	0.45454545454545453	0.12121212121212122	NA	FALSE	FALSE
JU1793xJU2466 II:13.72	JU1793xJU2466	II	13.722331	mig6	27.0391689583929	0.2	0.1111111111111111	-0.0888888888888889	NA	TRUE	FALSE
JU1793xJU2466 II:13.72	JU1793xJU2466	II	13.722331	pos1	2.26510769136918	0.2	0.5833333333333334	0.38333333333333336	NA	FALSE	FALSE
JU1793xJU2466 II:15.24	JU1793xJU2466	II	15.242948	mig6	31.1509949997114	0.16	0.631578947368421	0.471578947368421	NA	TRUE	TRUE
JU1793xJU2466 II:15.24	JU1793xJU2466	II	15.242948	pos1	7.21469967229924	0.16	0.4117647058823529	0.2517647058823529	NA	TRUE	TRUE
JU1793xJU2466 III:0.68	JU1793xJU2466	III	0.68433	mig6	71.7139458621963	0.2819047619047619	0.7309486780715396	0.44904391616677775	NA	TRUE	TRUE
JU1793xJU2466 III:0.68	JU1793xJU2466	III	0.68433	pos1	0	0.2819047619047619	0.31009738595592007	0.028192624051158188	NA	FALSE	FALSE
JU1793xJU2466 III:9.36	JU1793xJU2466	III	9.356888	mig6	54.0810519208664	0.41995841995842	0.7305555555555555	0.31059713559713553	NA	TRUE	TRUE
JU1793xJU2466 III:9.36	JU1793xJU2466	III	9.356888	pos1	1.33371449907857	0.41995841995842	0.4825	0.06254158004158	NA	FALSE	FALSE
JU1793xJU2466 III:11.62	JU1793xJU2466	III	11.624765	mig6	117.055692481088	0.39290882778581765	0.8412596401028277	0.4483508123170101	NA	TRUE	TRUE
JU1793xJU2466 III:11.62	JU1793xJU2466	III	11.624765	pos1	17.9638897639023	0.39290882778581765	0.6123748862602366	0.21946605847441897	NA	TRUE	TRUE
JU1793xJU2466 III:12.73	JU1793xJU2466	III	12.734366	mig6	183.180678384483	0.35810034469551894	0.9402714932126697	0.5821711485171508	NA	TRUE	TRUE
JU1793xJU2466 III:12.73	JU1793xJU2466	III	12.734366	pos1	51.2646721933105	0.35810034469551894	0.7554129911788292	0.39731264648331027	NA	TRUE	TRUE
JU1793xJU2466 III:13.45	JU1793xJU2466	III	13.445021	mig6	334.664787978512	0.3487544483985765	0.9644128113879004	0.6156583629893239	NA	TRUE	TRUE
JU1793xJU2466 III:13.45	JU1793xJU2466	III	13.445021	pos1	100.260315922301	0.3487544483985765	0.8010335917312662	0.4522791433326897	NA	TRUE	TRUE
JU1793xJU2466 IV:2.92	JU1793xJU2466	IV	2.918188	mig6	65.7101914324616	0.1977818853974122	0.5189239912417892	0.321142105844377	NA	TRUE	TRUE
