cross	contrast	pair	pool.a	pool.b	chrom	peak.Mb	peak.LOD	lcon.Mb	rcon.Mb	width.kb	peak.rank	contrast.beta	z	f1.a	f1.b	dfreq	n.markers.window	depth.a	depth.b	trough.LOD	separated	other.cross	other.LOD.at.peak	other.peak.Mb	other.peak.LOD	shared	shared.suggestive	drawn.in.figure2
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	I	9.681496	39.0711377758989	7.309865	10.300142	2990.277	1	0.297286102330352	13.4650652419564	NA	NA	NA	1	0	0	NA	TRUE	N2xXZ1516	2.33887909976636	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	I	6.227126	28.5788395166346	6.136668	6.227126	90.458	2	0.259443197858023	11.531975741469	0.2	0.125	0.07500000000000001	1	5	8	28.5788395166346	FALSE	N2xXZ1516	0	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	I	11.30104	24.0648331864983	11.30104	11.37105	70.01	3	0.236796642787161	10.5923007334982	0.5370251126851255	0.23648648648648649	0.300538626198639	134	1553	1628	24.0648331864983	FALSE	N2xXZ1516	13.8967170888549	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	I	5.082958	11.634419506717	5.082958	5.082958	0	4	0.172858211528414	7.41218743731425	0.5	0.42857142857142855	0.07142857142857145	1	10	7	11.634419506717	FALSE	N2xXZ1516	1.20922731439441	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	I	1.194665	10.8007655098508	1.104929	1.260215	155.286	5	-0.151068730308664	-7.14840219792384	0.6625434866640897	0.8169014084507042	-0.15435792178661456	310	2587	3195	0	TRUE	N2xXZ1516	318.859216864118	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	II	15.242948	31.1509949997114	14.767031	15.242948	475.917	1	-0.26699396865002	-12.0346376697979	0.16	0.631578947368421	-0.471578947368421	1	25	19	NA	TRUE	N2xXZ1516	18.5567559978467	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	II	13.722331	27.0391689583929	13.263333	13.722331	458.998	2	-0.248701985839168	-11.220314268607	0.2	0.1111111111111111	0.0888888888888889	2	20	18	27.0391689583929	FALSE	N2xXZ1516	50.6669139474658	13.465024	93.607995794533693	TRUE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	II	12.250323	23.6561318215684	11.689169	12.250323	561.154	3	-0.232764507509667	-10.5030706409047	0.3333333333333333	0.47368421052631576	-0.14035087719298245	2	18	19	23.6561318215684	FALSE	N2xXZ1516	10.8199780130311	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	II	10.684714	20.4843742329344	10.124117	10.684714	560.597	4	-0.217021603851707	-9.78295314087105	0.25828617623282135	0.4349851757729776	-0.17669899954015622	183	2474	2361	20.4843742329344	FALSE	N2xXZ1516	35.7196261134947	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	II	0.024284	20.3978865180863	0.024284	0.513754	489.47	5	-0.217461897897283	-9.76257259628973	0.225	0.5135135135135135	-0.2885135135135135	3	40	37	15.5357709759831	FALSE	N2xXZ1516	5.28846811273102	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	III	13.445021	334.664787978512	13.22975	13.660091	430.341	1	-0.654979782209539	-39.2756120373758	0.3487544483985765	0.9644128113879004	-0.6156583629893239	130	1405	1405	NA	TRUE	N2xXZ1516	921.319379101261	13.305359	939.500700565856	TRUE	FALSE	TRUE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	III	11.624765	117.055692481088	11.432852	11.790299	357.447	2	-0.464310023241922	-23.2474756744306	0.39290882778581765	0.8412596401028277	-0.4483508123170101	146	1382	1556	89.2586371574915	FALSE	N2xXZ1516	90.6693248139072	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	III	0.68433	71.7139458621963	0.447273	0.900822	453.549	3	-0.398195924709904	-18.2109052022532	0.2819047619047619	0.7309486780715396	-0.44904391616677775	243	2625	2572	1.44480573563998	TRUE	N2xXZ1516	102.886507135587	0.495191	109.155404949336	TRUE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	III	9.356888	54.0810519208664	9.263321	9.477203	213.882	4	-0.346102779311591	-15.8250831521868	0.41995841995842	0.7305555555555555	-0.31059713559713553	36	481	360	37.6804958202446	FALSE	N2xXZ1516	1.9073534078979	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	IV	5.754118	168.460753843912	5.411848	6.161131	749.283	1	-0.554799030297653	-27.8778578261364	0.2872340425531915	0.8247422680412371	-0.5375082254880456	10	94	97	NA	TRUE	N2xXZ1516	47.2549650423339	NA	NA	FALSE	TRUE	TRUE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	IV	7.170008	144.466955618487	7.170008	7.355086	185.078	2	-0.525586003386117	-25.820130498865	0.2857142857142857	0.7685185185185185	-0.4828042328042328	9	147	108	144.466955618487	FALSE	N2xXZ1516	154.362468669432	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	IV	3.664837	141.892416632022	3.559194	3.775948	216.754	3	-0.521734456300314	-25.5895078382873	0.21525338685398895	0.7103672710367271	-0.49511388418273816	221	1993	2151	121.384939427793	FALSE	N2xXZ1516	13.4238381101319	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	IV	8.404773	87.8154561738874	8.404773	8.501144	96.371	4	-0.433527746721305	-20.1441807453495	0.22666666666666666	0.6410256410256411	-0.4143589743589744	9	75	78	87.8154561738874	FALSE	N2xXZ1516	153.152061253213	8.975323	155.837995286978	TRUE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	IV	10.017997	72.7387990332125	9.689236	10.384806	695.57	5	-0.400014188272081	-18.3400313362574	0.2191780821917808	0.7681159420289855	-0.5489378598372047	6	73	69	67.6251179544246	FALSE	N2xXZ1516	117.538051113945	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	V	0.284869	30.6568127687936	0.157797	0.370668	212.871	1	-0.27442612279467	-11.9397052909383	0.4103641456582633	0.6597131681877445	-0.2493490225294812	65	714	767	NA	TRUE	N2xXZ1516	11.9215942023631	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	V	2.94	29.7503847616111	2.904737	2.980323	75.586	2	-0.269558577938079	-11.7635888668274	0.30792017461802307	0.4931575433911882	-0.18523736877316516	611	6414	5992	18.5081140781849	FALSE	N2xXZ1516	0.00144635484052183	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	V	1.644894	28.6893534385864	1.469536	1.725138	255.602	3	-0.265906670067897	-11.5540226049832	0.4111111111111111	0.6658595641646489	-0.25474845305353777	139	1710	1652	18.5081140781849	FALSE	N2xXZ1516	2.95120868689262	NA	NA	FALSE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	V	3.982749	19.5829406129204	3.982749	4.010527	27.778	4	-0.221101013727602	-9.56840060931957	0.33642261353104724	0.5572164948453608	-0.2207938813143136	173	2158	1940	0.160063468863	TRUE	N2xXZ1516	26.7352601771389	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	V	6.364073	4.61367665645204	6.31487	6.415085	100.215	5	-0.107581242428762	-4.7515176633282	0.2844650205761317	0.33185840707964603	-0.04739338650351432	150	1944	1808	1.82389986126837	TRUE	N2xXZ1516	91.7432733124811	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	X	7.151301	797.961752045621	6.859822	7.450363	590.541	1	-0.823402256137094	-60.6311437098984	0.0847457627118644	0.9208809135399674	-0.836135150828103	119	1298	1226	NA	TRUE	N2xXZ1516	51.3244869206353	7.054469	39.453868699018	TRUE	FALSE	TRUE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	X	5.859676	663.16735369776	5.749849	5.859676	109.827	2	-0.797859085568324	-55.275531354759	0.07854251012145749	0.8957836117740652	-0.8172411016526077	100	1235	1257	663.16735369776	FALSE	N2xXZ1516	31.1703403748748	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	X	8.450967	569.121070421324	8.450967	8.680808	229.841	3	-0.774827297248657	-51.2082527712905	0.09859154929577464	0.8407643312101911	-0.7421727819144165	66	781	785	569.121070421324	FALSE	N2xXZ1516	132.039872512609	NA	NA	FALSE	TRUE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	X	9.704382	469.865009605381	9.704382	9.84834	143.958	4	-0.743769841675486	-46.5316450219865	0.07317073170731707	0.8260869565217391	-0.7529162248144221	5	41	46	469.865009605381	FALSE	N2xXZ1516	154.336603366995	9.705058	154.338221955162	TRUE	FALSE	FALSE
JU1793xJU2466	ht115 vs mig6	ht115|mig6	ht115	mig6	X	10.85196	313.752613333429	10.85196	11.094802	242.842	5	-0.670394212515559	-38.0298503553842	0.10091743119266056	0.7472527472527473	-0.6463353160600867	10	109	91	313.752613333429	FALSE	N2xXZ1516	71.4657166825711	10.94506	63.0453564103976	TRUE	FALSE	FALSE
JU1793xJU2466	ht115 vs pos1	ht115|pos1	ht115	pos1	I	0.964967	14.4434181248204	0.728057	1.080446	352.389	1	-0.180018194347465	-8.23898786016595	0.6100462656972901	0.7948113207547169	-0.1847650550574268	124	1513	1272	NA	TRUE	N2xXZ1516	2.18539609990639	NA	NA	FALSE	FALSE	FALSE
